Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
PSPN	Mixed		1.426578477	1.164643164	1.099812133	1.058947369	0.28962375	0.999677189
ZKSCAN7	Mixed		33.15220077	0.191780446	0.181173429	1.058546209	0.289806496	0.999677189
BEND7	Mixed		167.8710996	0.11881853	0.112254744	1.058472242	0.289840199	0.999677189
FKBP6	Tissue enriched	testis: 83.0	1.281549059	-1.016469854	0.96075624	-1.057989334	0.290060305	0.999677189
C12orf43	Expressed in all		78.81954246	-0.247808405	0.234265383	-1.0578106	0.290141799	0.999677189
TTLL13P	Tissue enriched	testis: 5.0	1.596472561	0.782030973	0.739461857	1.057567697	0.290252576	0.999677189
CRHR2	Tissue enhanced	seminal vesicle: 1.7	0.670032577	0.841527316	0.795807787	1.057450467	0.290306049	NA
DUSP16	Expressed in all		614.4156051	0.199926426	0.189070699	1.057416236	0.290321665	0.999677189
NPC2	Tissue enriched	epididymis: 16336.0	1161.220299	0.118229734	0.111814477	1.057374126	0.290340875	0.999677189
ITGA10	Mixed		11.81585374	0.628348121	0.59427255	1.057339972	0.290356457	0.999677189
CARMIL2	Tissue enhanced	appendix: 16.2;lymph node: 25.0;spleen: 15.1	16.06287331	0.439196836	0.415477881	1.05708837	0.290471259	0.999677189
METTL16	Expressed in all		277.5310815	0.082720783	0.07825446	1.057074348	0.290477657	0.999677189
IQSEC3	Tissue enhanced	cerebral cortex: 16.1	13.29572671	-0.625484772	0.591726652	-1.057050193	0.290488681	0.999677189
CHRDL2	Group enriched	appendix: 157.7;endometrium: 128.3;gallbladder: 168.5;smooth muscle: 183.1;urinary bladder: 43.5	30.43237073	0.330356799	0.312597111	1.056813347	0.290596782	0.999677189
AP4S1	Expressed in all		63.26649054	0.133741181	0.126628709	1.056167925	0.290891502	0.999677189
NSRP1	Expressed in all		333.061211	-0.147427646	0.139611982	-1.055981328	0.290976746	0.999677189
RBM48	Expressed in all		114.0850904	-0.154761745	0.146574231	-1.055859165	0.291032563	0.999677189
NRBF2	Expressed in all		724.3901485	-0.113315375	0.107330986	-1.055756396	0.291079524	0.999677189
ZNF224	Expressed in all		118.3725074	-0.14966882	0.141801482	-1.055481352	0.291205234	0.999677189
RHBDF1	Mixed		74.17599274	0.230921022	0.218809265	1.055353033	0.291263895	0.999677189
SNRNP27	Expressed in all		314.1475013	0.069332642	0.065700179	1.055288469	0.291293413	0.999677189
SEMA3F	Expressed in all		125.81682	0.161250056	0.152821283	1.055154443	0.291354696	0.999677189
TTN	Tissue enriched	skeletal muscle: 322.5	58.94539371	-0.319431144	0.302740949	-1.055130284	0.291365743	0.999677189
MKL1	Expressed in all		175.2751292	0.137175547	0.13004214	1.054854585	0.291491836	0.999677189
CHST8	Tissue enhanced	cerebral cortex: 2.5	2.339525459	0.779811629	0.73930723	1.054786965	0.291522768	0.999677189
AREL1	Expressed in all		345.8922576	0.089651677	0.085014049	1.054551313	0.291630581	0.999677189
BCL2	Tissue enhanced	thyroid gland: 69.3	138.3119473	0.229210159	0.217501145	1.053834268	0.291958802	0.999677189
SDHD	Tissue enriched	colon: 7.8	1.097095573	-1.282313305	1.217081506	-1.053596903	0.292067508	0.999677189
UPK3A	Group enriched	parathyroid gland: 13.0;prostate: 35.0;skeletal muscle: 12.6;urinary bladder: 15.4	0.992109366	0.876975286	0.832506815	1.053415144	0.292150767	0.999677189
COL8A1	Tissue enhanced	parathyroid gland: 87.4	83.44962864	0.317626481	0.301523373	1.053405836	0.29215503	0.999677189
XPR1	Expressed in all		315.3654759	0.139312106	0.132304364	1.05296682	0.292356199	0.999677189
FLNA	Expressed in all		1385.714659	0.243022492	0.230812265	1.052901118	0.292386314	0.999677189
C11orf74	Expressed in all		106.9542593	-0.111130419	0.105560926	-1.052760934	0.292450574	0.999677189
NR2C2	Expressed in all		86.04935973	-0.158390904	0.150475098	-1.052605423	0.29252187	0.999677189
MAP3K12	Mixed		46.29512775	-0.20119127	0.191187074	-1.05232674	0.292649667	0.999677189
FBXL13	Group enriched	fallopian tube: 7.9;testis: 37.4	2.180395007	-0.728748608	0.692805905	-1.051879902	0.292854654	0.999677189
C17orf107	Mixed		90.50939212	0.243163851	0.231207318	1.051713474	0.292931027	0.999677189
DDX43	Tissue enriched	testis: 34.6	5.890087849	-0.648544718	0.616783955	-1.051494145	0.293031697	0.999677189
SIX5	Mixed		157.1848505	0.290732707	0.276539247	1.051325303	0.29310921	0.999677189
ZFAT	Group enriched	kidney: 10.5;placenta: 44.3	57.97979757	0.135869489	0.129292628	1.050868029	0.293319206	0.999677189
VIPAS39	Expressed in all		226.2867765	-0.081009529	0.077094651	-1.050780151	0.293359574	0.999677189
DCUN1D3	Mixed		230.1821206	0.121162048	0.115311551	1.050736433	0.293379658	0.999677189
ZNF584	Mixed		63.13975819	-0.136425053	0.129875745	-1.050427497	0.293521609	0.999677189
ZNF292	Expressed in all		455.583246	-0.140205431	0.133520396	-1.050067523	0.293687069	0.999677189
RABGGTA	Expressed in all		183.8219958	0.117554969	0.112000837	1.049590095	0.293906613	0.999677189
NEURL1B	Mixed		480.5731259	0.167588042	0.159722976	1.049241915	0.294066792	0.999677189
C1orf145	Mixed		3.207323145	-0.466089182	0.444326313	-1.048979475	0.294187565	0.999677189
CABP4	Tissue enhanced	spleen: 10.0	13.21524323	-0.317366081	0.302561724	-1.048930039	0.294210319	0.999677189
CCDC186	Expressed in all		415.1103622	0.118182931	0.112683768	1.048801737	0.294269378	0.999677189
C12orf45	Expressed in all		101.9559577	-0.147237151	0.14040771	-1.048640077	0.294343803	0.999677189
NECAB3	Mixed		141.3416549	0.161434703	0.153956994	1.048570116	0.294376016	0.999677189
CCDC180	Group enriched	fallopian tube: 15.8;testis: 37.9	19.51379623	-0.264368416	0.252180628	-1.048329595	0.294486779	0.999677189
SPEF2	Mixed		64.90314037	-0.177980021	0.169791347	-1.048227865	0.294533635	0.999677189
STKLD1	Tissue enriched	testis: 5.7	8.81052926	-0.312869374	0.298486554	-1.048185822	0.294553002	0.999677189
MINOS1	Expressed in all		510.5450263	0.128950705	0.12302715	1.048148356	0.29457026	0.999677189
FIGNL1	Mixed		83.98913594	0.149054319	0.14221153	1.048116976	0.294584716	0.999677189
SFXN4	Expressed in all		209.1378102	0.16416983	0.156659508	1.047940419	0.294666058	0.999677189
REN	Tissue enhanced	kidney: 51.2;placenta: 21.0	3.945161812	0.519290425	0.495649214	1.047697466	0.294778015	0.999677189
GOLGA6A	Tissue enriched	testis: 19.6	86.19567139	-0.34081542	0.325318882	-1.047634919	0.294806843	0.999677189
DYRK1B	Tissue enhanced	skeletal muscle: 37.4	133.5854677	0.192801953	0.184061467	1.047486776	0.294875128	0.999677189
SNAP25	Tissue enriched	cerebral cortex: 1759.0	31.62746695	0.352399448	0.336527294	1.047164537	0.295023698	0.999677189
TRIM6	Tissue enhanced	kidney: 22.5	20.08552927	-0.263422379	0.251646697	-1.046794503	0.295194366	0.999677189
ABCA3	Tissue enhanced	lung: 135.5	59.44111907	0.242704716	0.231943218	1.046397125	0.295377719	0.999677189
PABPC1	Expressed in all		6691.637188	-0.149638489	0.143020181	-1.046275341	0.295433927	0.999677189
CDC42EP3	Expressed in all		177.4947235	0.209586168	0.200325298	1.046229162	0.295455242	0.999677189
SPX	Group enriched	adipose tissue: 53.7;placenta: 13.5	32.76697161	-0.257192309	0.245833275	-1.04620625	0.295465818	0.999677189
TPM3	Tissue enriched	skeletal muscle: 2869.3	2068.650567	0.07553159	0.072206319	1.04605236	0.295536859	0.999677189
AP5S1	Expressed in all		127.2233895	0.142583202	0.136323708	1.045916399	0.295599632	0.999677189
SLC5A6	Expressed in all		583.6463573	0.242215798	0.231583027	1.045913429	0.295601004	0.999677189
GABRD	Tissue enriched	cerebral cortex: 34.0	5.012116935	0.580689415	0.555241854	1.045831488	0.295638841	0.999677189
ARHGEF4	Tissue enhanced	cerebral cortex: 61.6;skin: 44.1	9.091588326	-0.556925746	0.532572506	-1.045727559	0.295686835	0.999677189
CTTNBP2	Mixed		85.59499435	-0.218052202	0.208564403	-1.045490983	0.295796106	0.999677189
NOD2	Mixed		23.20367258	0.260090114	0.248801764	1.04537086	0.295851599	0.999677189
LANCL3	Mixed		4.438261824	0.529480461	0.506617243	1.045129174	0.295963272	0.999677189
DDB2	Expressed in all		218.0470096	0.161366119	0.154443654	1.044821941	0.296105272	0.999677189
PDILT	Tissue enriched	testis: 31.2	0.517993222	-1.141989721	1.092999837	-1.044821493	0.296105479	NA
TRIQK	Mixed		749.4145583	0.167068378	0.15991893	1.044706704	0.296158546	0.999677189
TONSL	Mixed		47.90917289	0.296860595	0.284171506	1.044652926	0.296183409	0.999677189
PTPRE	Mixed		161.7494988	0.224252408	0.214728405	1.044353717	0.296321769	0.999677189
PML	Expressed in all		315.3110099	0.142468096	0.136472969	1.043929046	0.296518219	0.999677189
LPAR5	Mixed		44.98027609	0.273502026	0.262040348	1.043740126	0.29660564	0.999677189
DDX51	Expressed in all		143.9755883	-0.17908891	0.171598934	-1.043648153	0.296648205	0.999677189
ZNF593	Expressed in all		172.2145048	0.297366609	0.28503508	1.043263197	0.296826411	0.999677189
HHIPL2	Tissue enhanced	testis: 9.0;thyroid gland: 3.4	0.570587525	-1.251761836	1.199973077	-1.043158267	0.296874998	NA
RGS3	Expressed in all		457.5177186	0.18497289	0.177323595	1.043137489	0.29688462	0.999677189
HEATR4	Group enriched	skin: 4.4;testis: 21.6	16.80890979	-0.26765035	0.256670022	-1.042779942	0.297050223	0.999677189
PIGQ	Expressed in all		359.7431954	0.205626693	0.197191954	1.042774255	0.297052858	0.999677189
APPL2	Expressed in all		361.972493	0.085495002	0.081994549	1.042691297	0.29709129	0.999677189
TAS2R50	Not detected		0.686276851	-1.099083851	1.054148412	-1.042627242	0.297120967	NA
VPS53	Mixed		479.9047255	0.08993061	0.086254735	1.042616501	0.297125944	0.999677189
MCM4	Expressed in all		227.0583436	0.132925501	0.1274934	1.042606916	0.297130385	0.999677189
FAM227B	Expressed in all		54.46385558	-0.17742658	0.17018118	-1.042574629	0.297145345	0.999677189
RPL6	Expressed in all		6572.422421	0.136206297	0.130656022	1.042480056	0.297189168	0.999677189
VTI1A	Mixed		160.3579282	0.094183742	0.090352061	1.042408336	0.297222403	0.999677189
JAZF1	Expressed in all		371.8421864	0.152037582	0.145858339	1.042364686	0.297242633	0.999677189
DCHS2	Tissue enhanced	endometrium: 1.9	2.528023585	-0.561890393	0.539072024	-1.04232898	0.297259181	0.999677189
CEP85	Tissue enhanced	skeletal muscle: 48.1;testis: 52.4	73.42327302	0.120933928	0.11603384	1.042229817	0.297305142	0.999677189
NR1I3	Tissue enriched	liver: 82.5	1042.554705	-0.150981832	0.144874933	-1.042152907	0.297340793	0.999677189
LPAR1	Mixed		45.22161228	0.311808547	0.29919751	1.042149539	0.297342354	0.999677189
LGSN	Tissue enhanced	kidney: 2.8;liver: 2.4;placenta: 1.8	113.0608524	-0.314755248	0.302035899	-1.042112044	0.297359735	0.999677189
CFAP58	Group enriched	fallopian tube: 13.3;testis: 23.5	0.975219862	-0.776320215	0.744967505	-1.042086011	0.297371804	0.999677189
TRIM25	Expressed in all		1030.861074	-0.168219548	0.161455061	-1.041897029	0.297459422	0.999677189
SNUPN	Expressed in all		166.7705636	-0.089394613	0.085822157	-1.041626265	0.297584987	0.999677189
DUOX2	Tissue enhanced	gallbladder: 446.7;thyroid gland: 124.8	26.26809033	0.721587281	0.692770326	1.041596693	0.297598703	0.999677189
CAPNS1	Expressed in all		1466.056043	0.103179245	0.099072386	1.041453118	0.297665301	0.999677189
HBB	Tissue enriched	bone marrow: 78046.6	871.6565366	-0.343746134	0.330210118	-1.04099213	0.297879201	0.999677189
XYLB	Tissue enhanced	liver: 15.2	730.1886556	-0.133063641	0.127833548	-1.040913305	0.297915786	0.999677189
RAB5B	Expressed in all		1009.687631	0.170947015	0.16423914	1.040842125	0.297948826	0.999677189
ENO1	Expressed in all		4289.004896	0.159234417	0.153012634	1.04066189	0.298032496	0.999677189
CARD14	Tissue enhanced	skin: 17.8	9.871669963	-0.321834926	0.309294812	-1.04054421	0.298087136	0.999677189
ZNF726	Mixed		29.124201	-0.242446682	0.233081037	-1.040181923	0.298255388	0.999677189
SPATA24	Tissue enriched	testis: 177.4	15.80119495	-0.213270973	0.205054514	-1.040069634	0.29830755	0.999677189
RSF1	Expressed in all		604.1681319	0.113350748	0.108994742	1.039965283	0.29835603	0.999677189
VDAC3	Expressed in all		644.2412047	-0.129956367	0.124970497	-1.039896371	0.298388049	0.999677189
GRM2	Tissue enriched	cerebral cortex: 4.4	1.754084174	-0.577395848	0.555289323	-1.039810824	0.298427799	0.999677189
GDF15	Tissue enhanced	placenta: 122.1;prostate: 74.5	218.4178882	0.460941845	0.443296303	1.039805299	0.298430367	0.999677189
FCHSD1	Mixed		36.48107586	0.251584235	0.241960124	1.039775606	0.298444165	0.999677189
ABCB7	Expressed in all		272.9728519	-0.249894993	0.240421999	-1.039401528	0.298618034	0.999677189
TRPM4	Mixed		89.29368702	0.225400357	0.216876394	1.039303326	0.298663689	0.999677189
PODNL1	Tissue enhanced	placenta: 12.3	2.847159302	-0.604787322	0.582008149	-1.039138924	0.298740131	0.999677189
ASCC1	Expressed in all		109.8718253	0.314396613	0.302575812	1.039067237	0.298773467	0.999677189
CACNB2	Mixed		75.5397461	-0.246267115	0.23701336	-1.039043183	0.298784653	0.999677189
PGM3	Expressed in all		940.6444949	0.149459695	0.143864799	1.038889957	0.298855918	0.999677189
GOSR1	Expressed in all		1083.654261	-0.057901413	0.055743331	-1.038714624	0.298937478	0.999677189
ERF	Expressed in all		535.9460768	0.234928166	0.226180852	1.038673981	0.298956386	0.999677189
XCL1	Tissue enhanced	spleen: 5.7	13.13530733	0.398169805	0.383404379	1.038511364	0.299032047	0.999677189
NOP10	Expressed in all		678.7804272	0.108871586	0.104838341	1.038471081	0.299050792	0.999677189
DMKN	Tissue enriched	skin: 3991.5	35.00775992	0.356807017	0.343630509	1.038344987	0.299109471	0.999677189
LY9	Tissue enhanced	lymph node: 34.5;spleen: 28.2;tonsil: 28.3	20.56095521	-0.393427214	0.378957942	-1.038181734	0.299185455	0.999677189
ZNF391	Mixed		12.7233807	0.312207816	0.30074716	1.038107278	0.299220114	0.999677189
ARPC2	Expressed in all		1432.044937	0.08687685	0.083690518	1.038072795	0.299236166	0.999677189
MPDU1	Expressed in all		1029.679528	0.160758421	0.154879136	1.037960474	0.299288457	0.999677189
NOTCH1	Expressed in all		535.4329103	-0.136595051	0.131622422	-1.037779499	0.299372723	0.999677189
METTL17	Expressed in all		332.4109801	-0.119827241	0.115466851	-1.037763135	0.299380343	0.999677189
STON1	Mixed		66.0506481	0.343020998	0.330553582	1.037716777	0.299401932	0.999677189
FTH1	Expressed in all		8012.394701	0.313370182	0.302022806	1.037571255	0.299469706	0.999677189
MATR3	Expressed in all		1610.51204	-0.106863052	0.10301054	-1.037399201	0.29954985	0.999677189
PRIMPOL	Mixed		118.9520845	-0.131394926	0.126671317	-1.037290286	0.299600592	0.999677189
ZBTB48	Expressed in all		200.4778682	-0.154681675	0.149129967	-1.037227316	0.299629931	0.999677189
DNAJB5	Mixed		47.64293548	0.225733978	0.217710182	1.0368554	0.299803252	0.999677189
IRAK1BP1	Tissue enriched	bone marrow: 59.8	13.42081443	-0.279621036	0.269685134	-1.036842602	0.299809218	0.999677189
C4BPB	Group enriched	liver: 241.3;ovary: 52.0	3703.915038	-0.12812076	0.12357393	-1.036794412	0.29983168	0.999677189
RAB18	Expressed in all		315.1587889	0.152616317	0.147205661	1.036755758	0.299849699	0.999677189
CECR1	Expressed in all		612.149404	0.215569022	0.208021089	1.036284463	0.300069452	0.999677189
PROM1	Tissue enhanced	"cervix, uterine: 67.2"	175.2927497	0.32895296	0.317517899	1.036013911	0.300195653	0.999677189
PAXBP1	Expressed in all		359.5202653	-0.160753571	0.15523635	-1.035540785	0.30041643	0.999677189
TIMM17A	Expressed in all		981.3204843	0.130902346	0.12642341	1.03542806	0.300469047	0.999677189
SMIM24	Group enriched	duodenum: 758.8;epididymis: 1928.7;kidney: 835.9;small intestine: 682.3	194.4572179	0.673359068	0.650367059	1.035352359	0.300504386	0.999677189
ATG2B	Expressed in all		729.341496	-0.118345749	0.114311852	-1.03528853	0.300534185	0.999677189
PDE4DIP	Expressed in all		1335.651832	-0.123405497	0.119202981	-1.035255121	0.300549783	0.999677189
SHB	Expressed in all		365.488099	0.166724803	0.161054121	1.035209793	0.300570946	0.999677189
GPC2	Tissue enhanced	skin: 5.7;testis: 10.1	1.046293542	0.983351026	0.950000864	1.035105403	0.30061969	0.999677189
TLE1	Expressed in all		792.0047977	-0.127203206	0.122891844	-1.035082574	0.30063035	0.999677189
MT1X	Expressed in all		10649.77285	0.336562301	0.325261085	1.03474506	0.300787986	0.999677189
CFAP44	Tissue enhanced	testis: 14.4	58.84824606	-0.257095989	0.24850066	-1.034588758	0.300861007	0.999677189
ESCO1	Expressed in all		257.309599	-0.125140474	0.120994319	-1.034267353	0.301011195	0.999677189
OPHN1	Mixed		126.8523573	-0.26599441	0.257211773	-1.03414555	0.301068125	0.999677189
MPZL1	Expressed in all		540.0167795	0.11009986	0.106486495	1.033932611	0.301167668	0.999677189
OXCT2	Tissue enriched	testis: 37.4	1.835023129	-1.201072356	1.161818691	-1.033786395	0.301236033	0.999677189
SERPINA12	Tissue enriched	skin: 349.1	9.682309251	0.761768885	0.737022413	1.033576283	0.301334292	0.999677189
DSG2	Tissue enhanced	parathyroid gland: 251.3	904.5620032	0.140190021	0.135651895	1.033454207	0.30139139	0.999677189
ETNPPL	Group enriched	cerebral cortex: 141.2;liver: 98.6	1751.696132	0.229856431	0.222419959	1.033434376	0.301400666	0.999677189
SLC12A9	Mixed		158.5711947	-0.175895563	0.170213005	-1.033384982	0.301423772	0.999677189
SLC17A2	Tissue enriched	liver: 40.8	1227.495224	-0.158943867	0.153809071	-1.033384222	0.301424127	0.999677189
HACE1	Tissue enhanced	placenta: 44.1	112.8974835	0.133681021	0.129394437	1.033128041	0.301543983	0.999677189
GKAP1	Tissue enriched	testis: 363.1	153.3579012	0.201244953	0.194825003	1.032952392	0.301626179	0.999677189
BCAR1	Mixed		434.8785091	0.220777316	0.213796856	1.032649965	0.301767737	0.999677189
CHDH	Tissue enhanced	kidney: 40.1	1170.20195	-0.137379812	0.133038443	-1.032632442	0.30177594	0.999677189
MED7	Expressed in all		143.6507203	0.108970362	0.105550835	1.032396975	0.301886189	0.999677189
SBNO1	Expressed in all		835.3615547	-0.08305436	0.080454004	-1.03232103	0.301921753	0.999677189
MCEMP1	Group enriched	appendix: 27.9;bone marrow: 43.9;lung: 110.4	2.79030746	0.714320285	0.691978196	1.032287273	0.301937561	0.999677189
IGFBP2	Expressed in all		2687.087989	-0.40129178	0.388755634	-1.032246851	0.301956492	0.999677189
CHMP3	Expressed in all		655.5098071	0.085353983	0.08269083	1.032206144	0.301975557	0.999677189
CDC25C	Tissue enriched	testis: 31.8	2.651642517	-0.493771244	0.478376759	-1.032180671	0.301987488	0.999677189
ANGPT2	Mixed		22.29740137	0.612476192	0.593388899	1.032166583	0.301994087	0.999677189
C4orf50	Not detected		0.30568382	-1.500988144	1.454254995	-1.032135457	0.302008666	NA
ZNF354C	Mixed		70.22461662	-0.192673782	0.186679471	-1.032110178	0.302020506	0.999677189
TECTB	Not detected		6.84068075	0.480344053	0.465433138	1.032036643	0.302054952	0.999677189
FAM163B	Tissue enriched	cerebral cortex: 103.5	10.40074585	0.580980163	0.56307025	1.031807598	0.302162259	0.999677189
GPR4	Mixed		47.30699948	-0.207530937	0.201145487	-1.031745433	0.302191388	0.999677189
UFSP2	Expressed in all		306.309394	0.095788839	0.092859914	1.031541332	0.302287036	0.999677189
POLD4	Expressed in all		592.1362067	0.228064041	0.22110486	1.031474573	0.302318326	0.999677189
SYN3	Tissue enhanced	cerebral cortex: 9.5;testis: 7.9	2.266231139	-0.515642626	0.499920048	-1.031450185	0.302329757	0.999677189
PCDHGB6	Tissue enhanced	cerebral cortex: 20.8	77.43660804	0.19939907	0.193326544	1.031410716	0.302348258	0.999677189
TMEM106A	Mixed		5.362599516	0.877923119	0.851298202	1.031275665	0.302411567	0.999677189
GNL3L	Expressed in all		107.6180735	0.122880477	0.11915997	1.031222795	0.302436354	0.999677189
ZBTB33	Expressed in all		761.3919251	0.142475492	0.138182252	1.031069406	0.302508273	0.999677189
PNPLA4	Expressed in all		474.094232	-0.161899029	0.157025345	-1.031037564	0.302523205	0.999677189
SNPH	Tissue enhanced	cerebral cortex: 33.6	9.613133889	0.346135967	0.335844174	1.03064455	0.302707537	0.999677189
NAP1L6	Mixed		4.694495931	-0.744872153	0.722732503	-1.030633256	0.302712835	0.999677189
CHID1	Expressed in all		864.3243143	0.167327282	0.162357728	1.030608673	0.302724367	0.999677189
RCSD1	Tissue enhanced	lymph node: 107.2	174.6383799	0.172893064	0.167823686	1.030206573	0.302913045	0.999677189
SLC2A14	Tissue enriched	testis: 148.8	4.979595133	0.546872896	0.53086074	1.03016263	0.302933669	0.999677189
ZNF66	Tissue enhanced	ovary: 9.5	3.069731854	0.677316752	0.657540099	1.030076726	0.30297399	0.999677189
ZCCHC10	Expressed in all		209.2276938	0.110099562	0.10689065	1.030020508	0.303000378	0.999677189
DNAH2	Group enriched	fallopian tube: 20.9;parathyroid gland: 28.4;testis: 10.9	15.02827656	0.48538723	0.47135816	1.029763079	0.303121237	0.999677189
PLEK	Tissue enhanced	bone marrow: 371.1	377.4460675	0.282254783	0.274112618	1.029703723	0.303149108	0.999677189
RHOC	Expressed in all		850.9540973	0.14455012	0.140380607	1.029701485	0.303150158	0.999677189
GRM7	Tissue enhanced	cerebral cortex: 10.1;parathyroid gland: 7.2	2.30983513	0.485488439	0.471540483	1.029579551	0.303207418	0.999677189
FIBIN	Tissue enhanced	seminal vesicle: 124.4	49.01703072	0.249402088	0.242314106	1.029251216	0.303361641	0.999677189
RPH3A	Tissue enriched	cerebral cortex: 95.2	0.725210046	0.892314412	0.867032504	1.029159124	0.303404907	NA
MYBBP1A	Expressed in all		214.0077703	0.189616722	0.184254316	1.029103284	0.303431143	0.999677189
KCTD18	Expressed in all		271.4687789	-0.09734283	0.094598795	-1.029007079	0.303476348	0.999677189
KIAA1147	Expressed in all		1316.226122	0.121697045	0.118272294	1.028956497	0.303500118	0.999677189
CRKL	Expressed in all		1037.785814	-0.078692837	0.076488549	-1.028818535	0.303564955	0.999677189
C1orf35	Expressed in all		101.3976833	0.230247276	0.223803288	1.028793085	0.303576917	0.999677189
POC1B	Expressed in all		124.1893698	0.165530358	0.160923945	1.028624787	0.303656026	0.999677189
EPC2	Expressed in all		283.6139468	0.108174542	0.105164968	1.028617649	0.303659381	0.999677189
CPA3	Tissue enhanced	gallbladder: 173.9	58.57189484	-0.440708003	0.428471267	-1.028559057	0.303686926	0.999677189
TCIRG1	Expressed in all		510.4518516	0.188954339	0.183740154	1.028378038	0.303772035	0.999677189
SETSIP	Not detected		0.285544516	1.361644814	1.324076019	1.028373593	0.303774125	NA
RPS21	Expressed in all		3948.679684	0.226360566	0.220167777	1.028127589	0.303889814	0.999677189
ERMP1	Tissue enhanced	parathyroid gland: 124.7	327.3847645	0.11744337	0.114239667	1.0280437	0.303929272	0.999677189
ARL13A	Tissue enriched	testis: 7.6	0.61046258	0.794654128	0.77316529	1.027793329	0.304047055	NA
RFX4	Group enriched	cerebral cortex: 30.8;testis: 135.8	0.518636056	1.110544866	1.080522234	1.027785298	0.304050833	NA
SPDEF	Tissue enhanced	prostate: 172.4	0.992495103	1.095377254	1.06577624	1.027774135	0.304056086	0.999677189
PINK1	Expressed in all		1929.668502	0.121808763	0.118530599	1.027656685	0.30411135	0.999677189
SHQ1	Expressed in all		152.84106	0.110395951	0.107441198	1.02750112	0.304184558	0.999677189
ZMYM4	Expressed in all		468.8371376	-0.182387184	0.177517992	-1.027429286	0.304218367	0.999677189
CTCFL	Tissue enriched	testis: 20.6	4.759974363	-0.506304944	0.492925261	-1.02714343	0.304352931	0.999677189
JADE2	Expressed in all		240.8566575	-0.115541759	0.11248861	-1.027141855	0.304353673	0.999677189
CACNA1G	Tissue enhanced	"cerebral cortex: 10.5;cervix, uterine: 8.5"	0.513107749	1.095610345	1.066934569	1.026876789	0.304478485	NA
LRP12	Mixed		46.93930071	0.315753926	0.307491045	1.02687194	0.304480769	0.999677189
ELOVL6	Mixed		1280.858499	0.202151065	0.196863622	1.026858404	0.304487143	0.999677189
THOP1	Expressed in all		504.062784	-0.235775572	0.229629254	-1.026766268	0.304530537	0.999677189
ATG4A	Expressed in all		204.41805	0.174992956	0.170462513	1.026577357	0.304619521	0.999677189
KLHL3	Mixed		156.8758497	0.241872513	0.235635146	1.026470445	0.304669888	0.999677189
DDX11	Expressed in all		74.21782553	-0.269517957	0.262596273	-1.026358656	0.304722559	0.999677189
TCF3	Expressed in all		244.4249331	0.13477166	0.131320875	1.026277501	0.304760799	0.999677189
RAD54L	Tissue enhanced	testis: 20.0	4.672274342	-0.426875738	0.415947342	-1.026273507	0.304762681	0.999677189
FLG	Tissue enriched	skin: 548.3	3.67161851	0.597261189	0.582038291	1.026154462	0.304818782	0.999677189
DGCR8	Expressed in all		314.1637095	-0.152224277	0.14836663	-1.026000778	0.304891218	0.999677189
STARD8	Mixed		230.2096629	-0.102462874	0.099895738	-1.025698149	0.305033887	0.999677189
TGFBR3	Expressed in all		810.65655	0.15241829	0.148603147	1.025673363	0.305045574	0.999677189
TOR1A	Expressed in all		503.1117514	0.188882457	0.184157947	1.025654667	0.30505439	0.999677189
IGF2BP1	Group enriched	placenta: 8.0;testis: 9.1	2.75616172	-0.518680381	0.50579921	-1.025466966	0.305142905	0.999677189
RUBCNL	Mixed		32.96627733	-0.260259689	0.253820806	-1.025367831	0.305189661	0.999677189
PIGG	Expressed in all		268.6941724	0.097842297	0.095424583	1.025336383	0.305204494	0.999677189
CCDC173	Tissue enriched	testis: 143.7	4.28311221	0.470134485	0.458525284	1.025318563	0.305212899	0.999677189
DENND1B	Expressed in all		29.42693737	-0.221461131	0.216033112	-1.025125868	0.305303801	0.999677189
ZNF629	Expressed in all		176.2622547	-0.10549598	0.102936548	-1.024864167	0.305427284	0.999677189
ERVFRD-1	Group enriched	parathyroid gland: 30.4;placenta: 51.8	6.381648997	-0.326974798	0.319068703	-1.024778661	0.305467637	0.999677189
MAP3K5	Expressed in all		277.7354791	0.145428751	0.14193152	1.024640271	0.305532955	0.999677189
SCNN1D	Tissue enhanced	testis: 13.8	59.26045352	-0.316846072	0.309248941	-1.024566391	0.30556783	0.999677189
C11orf63	Tissue enhanced	testis: 63.8	13.3389373	0.300205159	0.293131508	1.024131323	0.305773252	0.999677189
CSNK2B	Mixed		861.2716548	-0.078920846	0.077067465	-1.024048816	0.305812218	0.999677189
ENAM	Tissue enhanced	epididymis: 8.3;kidney: 5.9	25.75166996	0.273532975	0.267175878	1.023793678	0.305932737	0.999677189
KLF12	Mixed		775.7619909	-0.148268203	0.144823966	-1.023782233	0.305938144	0.999677189
DNAH7	Tissue enhanced	fallopian tube: 15.6;testis: 18.1	7.496150395	0.478043863	0.466939814	1.023780472	0.305938976	0.999677189
JAM3	Expressed in all		81.17196592	-0.298753118	0.292022185	-1.02304939	0.306284494	0.999677189
RP11-977G19.10	Mixed		87.52517377	0.447596263	0.437517958	1.023035181	0.306291212	0.999677189
CEMIP	Tissue enhanced	endometrium: 53.2	36.58419337	0.484083579	0.473190235	1.023021066	0.306297886	0.999677189
ARHGAP35	Expressed in all		1979.572768	-0.106139358	0.103767312	-1.022859275	0.306374387	0.999677189
