Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P value	P value adjusted
RTN4	Expressed in all		7764.481557	0.364804807	0.107949518	3.3794019	0.000726437	0.004390193
LOXL3	Mixed		24.36439038	-0.527812029	0.17498072	-3.01640106	0.002557947	0.012593942
GALNT3	Mixed		69.69630857	-1.154744814	0.252846571	-4.566978346	4.95E-06	5.98E-05
TACR1	Tissue enhanced	cervix, uterine: 7.3	1.238379038	-2.68521296	0.644613626	-4.165616195	3.11E-05	0.000293789
EVA1A	Tissue enhanced	liver: 98.9	1521.804269	0.256545528	0.096529786	2.65768255	0.007867997	0.031776487
EFEMP1	Mixed		34.48205665	-3.432580731	0.835653222	-4.107661697	4.00E-05	0.000366864
FANCL	Expressed in all		220.0662184	0.375049804	0.119627269	3.135153104	0.001717644	0.009020532
STAT1	Expressed in all		2060.842416	-0.600453554	0.182610764	-3.288160798	0.001008442	0.005790808
GLS	Expressed in all		558.8212146	-1.275660675	0.156132165	-8.170389947	3.07E-16	3.24E-14
PAPOLG	Mixed		163.3199559	-0.362606651	0.128353333	-2.825066117	0.004727086	0.021046567
PECR	Expressed in all		2361.995627	0.599916028	0.111045321	5.40244307	6.57E-08	1.29E-06
IGFBP5	Tissue enhanced	cervix, uterine: 2374.4;ovary: 1646.3	1438.76188	-0.560926425	0.189179952	-2.965041591	0.00302642	0.014510146
EFHD1	Tissue enhanced	breast: 227.6	376.2855666	1.502685411	0.285915653	5.255694797	1.47E-07	2.66E-06
OTX1	Tissue enhanced	cerebral cortex: 1.7;skin: 6.1	1.153816797	-1.908710564	0.699668967	-2.728019469	0.006371585	0.026832661
COQ10B	Expressed in all		413.1789412	-0.30022347	0.117611772	-2.552665134	0.010690222	0.040846001
GNLY	Tissue enhanced	bone marrow: 152.4;endometrium: 113.5;spleen: 112.9	64.14382023	0.916383943	0.311401274	2.942775193	0.003252845	0.015441806
ST3GAL5	Tissue enhanced	thyroid gland: 44.7	300.7032726	0.337342364	0.109011317	3.094562769	0.001971032	0.010154161
CHST10	Tissue enhanced	cerebral cortex: 46.4	18.7390569	-0.992829713	0.214460167	-4.629436442	3.67E-06	4.63E-05
HSPE1	Expressed in all		2534.772727	0.290012448	0.098542989	2.943004364	0.003250438	0.015435552
KDM3A	Expressed in all		368.4015777	-0.378454844	0.087720988	-4.314302129	1.60E-05	0.000166273
CHMP3	Expressed in all		655.5098071	-0.4156769	0.071333116	-5.827264003	5.63E-09	1.44E-07
IL1RL2	Tissue enhanced	skin: 15.5	33.70742991	0.712319441	0.185970118	3.830289772	0.000127992	0.00100445
SLC9A2	Tissue enhanced	colon: 20.5;rectum: 23.3;stomach: 25.7	1.930876232	-1.867733456	0.635122618	-2.940744675	0.003274243	0.015516035
FHL2	Expressed in all		135.0972414	-2.115874274	0.241717571	-8.753497988	2.07E-18	3.18E-16
UXS1	Expressed in all		146.1039475	-0.934478487	0.313102215	-2.984579608	0.002839683	0.01374188
PPP1R7	Expressed in all		559.3764834	0.150222466	0.059692231	2.516616708	0.011848765	0.044467256
STK25	Expressed in all		589.3038456	0.294532834	0.117097688	2.515274546	0.011893972	0.044570209
PROC	Tissue enriched	liver: 140.4	2015.32227	0.547704022	0.153713676	3.563144398	0.000366439	0.002449454
ID2	Tissue enriched	parathyroid gland: 1985.4	4157.388362	0.375024395	0.134967844	2.778620316	0.005459029	0.023674497
TAF1B	Mixed		128.7829034	-0.397887963	0.127384364	-3.123522796	0.001787	0.009325743
ODC1	Expressed in all		614.5551498	-0.901277122	0.168490071	-5.349140856	8.84E-08	1.68E-06
PLEKHB2	Expressed in all		511.857111	-0.422301449	0.12014964	-3.514795786	0.000440092	0.002854408
SLC25A12	Mixed		44.01419315	-0.60558418	0.20338517	-2.977523777	0.002905871	0.014032172
RMDN2	Expressed in all		424.1241181	0.467747323	0.122245096	3.826307475	0.00013008	0.001018904
SDC1	Tissue enhanced	esophagus: 250.7;skin: 287.9	10462.13548	-0.338565468	0.131767774	-2.569410251	0.010187178	0.039224967
PLCL1	Mixed		28.33017811	-1.162601083	0.245040042	-4.744535106	2.09E-06	2.81E-05
RND3	Mixed		1031.448896	-0.864834244	0.180190482	-4.799555649	1.59E-06	2.21E-05
TRAK2	Expressed in all		570.0309166	-0.375543985	0.102852955	-3.651270721	0.000260946	0.001827209
C2orf42	Tissue enriched	testis: 109.7	208.606875	0.423468653	0.116528319	3.634040694	0.000279017	0.001935776
PCYOX1	Expressed in all		5011.884233	0.41634222	0.123301899	3.376608331	0.000733855	0.00442535
SUMO1	Expressed in all		1900.617399	0.290832716	0.074818981	3.887151523	0.000101427	0.000826189
CD207	Tissue enriched	skin: 104.0	13.46060933	-1.450842197	0.365701894	-3.967281061	7.27E-05	0.000621233
ATP6V1B1	Group enriched	breast: 16.1;cervix, uterine: 47.9;fallopian tube: 21.1;kidney: 64.8;placenta: 27.8;salivary gland: 66.5	1.194746732	-2.061369206	0.577265869	-3.570918211	0.000355732	0.002389432
PARD3B	Mixed		194.3644104	-0.450418408	0.099361979	-4.533106228	5.81E-06	6.87E-05
BCL9	Mixed		117.4843699	-0.249533097	0.090291408	-2.763641667	0.005716027	0.024549529
PRRX1	Mixed		22.30451531	-2.465124205	0.336757347	-7.320179426	2.48E-13	1.58E-11
DNAJC16	Expressed in all		1048.658679	0.598191576	0.093989518	6.364449866	1.96E-10	6.86E-09
MARK1	Mixed		16.21692538	-1.195603156	0.311951286	-3.832659802	0.000126765	0.000996704
GPX7	Expressed in all		53.28106162	-0.649539294	0.196426697	-3.306777045	0.00094376	0.005464762
CACYBP	Expressed in all		340.962493	0.695205706	0.155905714	4.459141937	8.23E-06	9.30E-05
SCP2	Expressed in all		19716.30391	0.823330653	0.120458868	6.834952621	8.20E-12	3.88E-10
TPSG1	Tissue enhanced	colon: 14.6;duodenum: 14.3;rectum: 9.5;small intestine: 10.5	3.043242895	2.481657571	0.596896529	4.157600945	3.22E-05	0.000303249
PAPPA2	Tissue enriched	placenta: 82.7	48.83305431	-1.266194271	0.463401077	-2.732393891	0.006287592	0.02656433
CEP104	Expressed in all		542.3741949	0.249548549	0.06071194	4.11037021	3.95E-05	0.000363525
ICMT	Expressed in all		379.7506011	-0.34336269	0.131010516	-2.620878847	0.008770342	0.034804103
QSOX1	Expressed in all		837.2259748	-0.94109944	0.166692328	-5.645727379	1.64E-08	3.75E-07
ERRFI1	Expressed in all		9023.042074	0.652785245	0.166892084	3.911421252	9.18E-05	0.000759072
KIAA1324	Mixed		9.700677392	-1.046760867	0.308175245	-3.396641635	0.000682182	0.004154004
AMPD2	Expressed in all		471.008593	0.590404075	0.103170482	5.722606525	1.05E-08	2.52E-07
RNF19B	Expressed in all		171.2561884	-0.303489361	0.100011511	-3.034544315	0.002408994	0.0119647
RHOU	Expressed in all		832.3624488	-0.39216037	0.117211794	-3.345741543	0.000820628	0.00485454
ARHGEF2	Expressed in all		226.8478692	-0.486282656	0.14935108	-3.255970133	0.001130056	0.006347133
LAMTOR2	Expressed in all		513.5128264	0.452511684	0.105673787	4.282156423	1.85E-05	0.00018783
DNAJC6	Tissue enriched	cerebral cortex: 162.8	19.90940909	-2.008100729	0.250326887	-8.021913883	1.04E-15	1.01E-13
LEPR	Mixed		4659.678517	-1.371955766	0.205815799	-6.66594	2.63E-11	1.09E-09
KIAA2013	Expressed in all		1288.236599	0.401074233	0.157812858	2.541454721	0.011039224	0.041941302
NCF2	Tissue enhanced	bone marrow: 127.5	113.8888551	-0.660794161	0.205971308	-3.20818549	0.001335753	0.007292126
PLA2G4A	Tissue enhanced	parathyroid gland: 200.5	39.48608164	-0.879047001	0.302363069	-2.907256512	0.003646141	0.016949278
GADD45A	Expressed in all		1544.923798	0.582434344	0.1525708	3.817469294	0.000134828	0.001050145
WLS	Expressed in all		298.8262442	-0.687248717	0.128174804	-5.361808209	8.24E-08	1.58E-06
PRDM2	Expressed in all		263.5956188	-0.306364032	0.096432588	-3.176976165	0.001488193	0.007994299
RGS2	Expressed in all		179.3071259	-1.457683639	0.246951661	-5.90270839	3.58E-09	9.59E-08
AMPD1	Tissue enriched	skeletal muscle: 193.6	5.143287061	-1.641095467	0.474418882	-3.459169799	0.000541843	0.003406087
CTH	Expressed in all		1875.102725	-0.544103722	0.173008114	-3.144960711	0.001661091	0.008779097
AGMAT	Tissue enhanced	kidney: 158.9	2746.816893	0.740912808	0.138311447	5.35684372	8.47E-08	1.62E-06
CFHR3	Tissue enriched	liver: 314.2	6600.895665	1.403950847	0.306241381	4.584458326	4.55E-06	5.56E-05
CD58	Expressed in all		114.3726389	-0.686307115	0.126907586	-5.407928213	6.38E-08	1.25E-06
CD2	Tissue enhanced	lymph node: 131.1	95.61703962	-1.183474692	0.215964427	-5.479951996	4.25E-08	8.78E-07
TTF2	Mixed		57.48416132	-0.496573503	0.129500229	-3.834537649	0.000125801	0.000990686
HAO2	Group enriched	kidney: 317.5;liver: 219.8	2914.252927	1.234922285	0.159630751	7.736117754	1.02E-14	8.42E-13
OSCP1	Expressed in all		21.67015264	-0.671199095	0.223009342	-3.009735325	0.002614754	0.012824778
MRPS15	Expressed in all		694.5693127	0.351793329	0.076809549	4.580072807	4.65E-06	5.64E-05
C1orf109	Expressed in all		172.3223523	0.238433648	0.093434185	2.551888772	0.010714072	0.040905734
MTR	Expressed in all		519.8134592	-0.293957061	0.085098511	-3.454314995	0.000551693	0.003460137
MYCL	Tissue enhanced	skin: 41.6	333.5885493	0.583843808	0.173223429	3.370466752	0.00075041	0.004510975
RIMS3	Tissue enriched	cerebral cortex: 60.4	31.17856805	-0.917486914	0.186883267	-4.909411797	9.13E-07	1.34E-05
AKT3	Mixed		199.0623296	-0.755756729	0.154565359	-4.88956084	1.01E-06	1.47E-05
ETV3	Expressed in all		218.5381436	-0.296000569	0.098228565	-3.013385862	0.002583502	0.012694654
ACADM	Expressed in all		6204.683801	0.41259994	0.147122092	2.804473043	0.00503989	0.022189244
ST6GALNAC5	Mixed		1.751688571	-2.301091607	0.635553156	-3.62061235	0.000293907	0.002025531
SLAMF1	Tissue enhanced	appendix: 15.4;lymph node: 21.1;tonsil: 14.3	17.62360396	-1.259337424	0.292186817	-4.310041907	1.63E-05	0.000169001
CD48	Tissue enhanced	lymph node: 311.4;spleen: 213.1;tonsil: 226.0	145.1330102	-0.665040831	0.20209	-3.290815134	0.000998975	0.005745724
PADI2	Tissue enhanced	cerebral cortex: 85.0;colon: 89.8;rectum: 99.9;skeletal muscle: 108.6	18.01556085	-0.845483076	0.339147225	-2.492967699	0.012668037	0.04687096
SDHB	Expressed in all		2273.560113	0.342776024	0.083080033	4.125853252	3.69E-05	0.000343336
MFAP2	Tissue enhanced	gallbladder: 100.7	12.99238485	-2.568195821	0.336076679	-7.641696022	2.14E-14	1.66E-12
KDM5B	Tissue enriched	testis: 228.1	265.2575078	-0.394119854	0.087442798	-4.507173383	6.57E-06	7.61E-05
CTBS	Mixed		1475.133803	0.422697665	0.124160052	3.404457861	0.000662955	0.004056771
RGS4	Tissue enriched	cerebral cortex: 289.2	63.39870253	-3.377565293	0.279688406	-12.07617197	1.41E-33	2.70E-30
IGSF21	Tissue enhanced	cerebral cortex: 28.9;spleen: 13.2	13.52723554	-0.862111012	0.279328494	-3.086369742	0.002026167	0.010388749
CDK18	Mixed		165.2266599	-1.049860346	0.14199509	-7.393638385	1.43E-13	9.59E-12
CD160	Tissue enhanced	spleen: 19.6	33.74408474	1.631667811	0.254831203	6.402935708	1.52E-10	5.44E-09
GALE	Expressed in all		510.0963317	0.665765337	0.130308282	5.10915597	3.24E-07	5.39E-06
ID3	Mixed		463.4502138	-0.755806953	0.15377666	-4.91496533	8.88E-07	1.31E-05
CR2	Group enriched	appendix: 68.3;lymph node: 206.0;spleen: 100.2;tonsil: 153.8	0.649958426	-2.129997032	0.854064702	-2.493952774	0.012632935	0.046789414
SLC2A1	Tissue enhanced	placenta: 293.0	39.32308324	-1.089625914	0.242398544	-4.495183411	6.95E-06	8.01E-05
EBNA1BP2	Expressed in all		653.4322265	0.445004378	0.094870393	4.690655999	2.72E-06	3.57E-05
AKR1A1	Expressed in all		2693.207125	0.503531493	0.094947843	5.303243093	1.14E-07	2.09E-06
PRDX1	Expressed in all		4193.586619	0.294615967	0.077963051	3.778917849	0.000157511	0.001198695
CCDC181	Tissue enhanced	parathyroid gland: 22.9;testis: 49.6	4.147110841	-2.047107765	0.421302428	-4.858998257	1.18E-06	1.69E-05
SLC19A2	Expressed in all		496.5664646	0.537308804	0.179594952	2.991781212	0.00277355	0.013487394
FAAH	Expressed in all		432.4043448	0.483335716	0.149371837	3.235788797	0.001213071	0.006717904
DR1	Expressed in all		493.7143075	-0.244338651	0.080934707	-3.018960092	0.002536439	0.012497939
PRRC2C	Expressed in all		1526.580293	-0.219949002	0.078698326	-2.794837125	0.005192587	0.022732864
F3	Expressed in all		98.96068185	-2.650534031	0.288855488	-9.175986392	4.47E-20	8.91E-18
VAMP4	Expressed in all		267.7729261	0.259818026	0.098939987	2.626016384	0.008639066	0.034369869
PRDX6	Expressed in all		6184.264411	0.331329626	0.088191799	3.756921033	0.000172017	0.001287436
SERPINC1	Tissue enriched	liver: 2517.8	36570.68385	0.304779157	0.114374233	2.664753672	0.007704473	0.031261199
RCAN3	Tissue enhanced	prostate: 54.8	47.69580894	-1.046965746	0.153883228	-6.803637793	1.02E-11	4.70E-10
SLC35A3	Expressed in all		1685.65921	0.515196382	0.122667847	4.199930088	2.67E-05	0.000256914
STMN1	Expressed in all		256.8331785	-0.59974278	0.133880537	-4.47968608	7.48E-06	8.54E-05
MTFR1L	Expressed in all		873.7742528	0.420957996	0.071906373	5.85425158	4.79E-09	1.24E-07
RPS6KA1	Mixed		202.0060764	-0.402606585	0.13905587	-2.895286517	0.003788126	0.017478743
DHDDS	Expressed in all		253.7841054	-0.25141139	0.082178344	-3.05933873	0.002218262	0.011191466
PROX1	Tissue enhanced	liver: 45.3	5457.235814	0.433741743	0.100367676	4.32152822	1.55E-05	0.000161458
ARID1A	Expressed in all		1024.873744	0.318772819	0.081261126	3.922820589	8.75E-05	0.000727927
STX12	Expressed in all		577.2222099	-0.291266552	0.08718977	-3.340604661	0.000835962	0.004928847
MARC2	Tissue enhanced	parathyroid gland: 338.5	2809.550798	0.672295336	0.109107511	6.161769506	7.19E-10	2.26E-08
RCN2	Expressed in all		439.928712	-0.31107809	0.104445251	-2.978384258	0.002897724	0.014003699
CTSD	Expressed in all		12372.8648	-0.421917078	0.124710421	-3.3831742	0.000716532	0.004332432
COLEC11	Tissue enhanced	gallbladder: 102.0	1054.135845	-0.599251954	0.178533137	-3.356530682	0.00078927	0.004700308
STK11	Expressed in all		469.8923985	0.718209572	0.246096117	2.91841082	0.003518205	0.016437439
IFT46	Expressed in all		176.0482667	0.282152172	0.093312278	3.023741113	0.0024967	0.012333866
APOA1	Tissue enhanced	liver: 8458.6;small intestine: 4128.6	156547.2174	0.480791013	0.192523795	2.497306963	0.012514058	0.046418185
ZNF541	Tissue enriched	testis: 19.2	4.684806441	-2.331318959	0.4289202	-5.435320972	5.47E-08	1.09E-06
CAMSAP2	Mixed		314.0522461	-0.472673274	0.122245816	-3.866580387	0.000110372	0.000888294
KLF7	Expressed in all		276.8384436	-0.352317213	0.125088532	-2.816542879	0.004854356	0.021490217
TTR	Tissue enriched	liver: 6343.2	62609.46467	0.886048416	0.185131145	4.786058098	1.70E-06	2.34E-05
C1orf54	Expressed in all		82.84224422	0.431186018	0.156408008	2.756802697	0.005836956	0.024995587
CASC1	Tissue enhanced	fallopian tube: 22.5;testis: 41.8	3.280675932	-1.998198507	0.441614643	-4.524756003	6.05E-06	7.10E-05
FILIP1	Tissue enhanced	heart muscle: 35.3	63.89452684	-0.606839503	0.158276521	-3.834046254	0.000126052	0.000992138
HMGN3	Expressed in all		749.9406035	0.301221618	0.092859532	3.243841649	0.001179293	0.006561497
SGIP1	Tissue enhanced	cerebral cortex: 36.2	17.77807657	-1.947307183	0.301900881	-6.450154028	1.12E-10	4.10E-09
PLAGL1	Tissue enriched	placenta: 365.4	71.1594238	-0.735636882	0.149412754	-4.923521347	8.50E-07	1.26E-05
TNFAIP3	Expressed in all		373.7415301	-1.146786408	0.169318658	-6.772947647	1.26E-11	5.65E-10
AKAP7	Expressed in all		423.4310187	-1.012202467	0.177336813	-5.707796665	1.14E-08	2.71E-07
ALDH8A1	Group enriched	kidney: 74.3;liver: 127.7	4210.21538	0.447764508	0.099390298	4.505112827	6.63E-06	7.68E-05
SGK1	Expressed in all		1157.632002	-0.568212686	0.220113719	-2.581450573	0.009838608	0.038189999
CTGF	Expressed in all		843.6895108	-2.59788745	0.318274647	-8.162407777	3.28E-16	3.43E-14
TCF21	Tissue enhanced	placenta: 62.4;spleen: 46.9	78.82809035	-0.587289093	0.181023191	-3.244275442	0.001177498	0.006554442
ZNF430	Mixed		49.59197519	-0.876194511	0.186377562	-4.701180246	2.59E-06	3.41E-05
DCLRE1B	Mixed		44.88531734	-0.359256831	0.128880488	-2.787519172	0.005311331	0.023134727
MYL12B	Expressed in all		2761.032495	-0.424078672	0.081483484	-5.204473977	1.95E-07	3.42E-06
ARMC2	Tissue enhanced	testis: 62.0	13.20126051	-0.460562986	0.183312812	-2.512442969	0.011989848	0.044821038
ABCG2	Tissue enhanced	small intestine: 113.8	617.8514943	0.633806854	0.172475783	3.674758523	0.000238074	0.00168843
SPP1	Tissue enhanced	gallbladder: 3987.0;kidney: 2404.4;placenta: 4045.7	1100.138878	-2.73414553	0.416801223	-6.559830872	5.39E-11	2.11E-09
RARRES1	Mixed		102.9781402	-2.214789856	0.225975764	-9.801006169	1.11E-22	4.08E-20
PPL	Group enriched	esophagus: 558.8;skin: 149.5	345.7109866	0.39622485	0.120885103	3.277697927	0.001046573	0.005964366
KLF12	Mixed		775.7619909	0.364584896	0.126382268	2.884778864	0.003916887	0.01798972
PCDH17	Tissue enhanced	cerebral cortex: 25.8;spleen: 33.8	164.3580556	-0.713688461	0.20115661	-3.547924477	0.00038828	0.00256723
WDR35	Mixed		103.3513863	-0.666214507	0.139820588	-4.764781172	1.89E-06	2.57E-05
CCND2	Mixed		187.4456606	-0.982340324	0.17709532	-5.546958122	2.91E-08	6.24E-07
FGF23	Mixed		30.38157097	-2.627830552	0.369387137	-7.114028322	1.13E-12	6.15E-11
ELL2	Expressed in all		2365.893572	0.357254523	0.127293944	2.806531977	0.005007794	0.022075265
DNAH7	Tissue enhanced	fallopian tube: 15.6;testis: 18.1	7.496150395	-2.873052077	0.391697616	-7.334872522	2.22E-13	1.43E-11
GDA	Tissue enhanced	cerebral cortex: 102.2;duodenum: 95.2;small intestine: 104.1	1752.851367	-0.533636305	0.151320751	-3.5265243	0.000421053	0.002750051
TJP2	Expressed in all		1483.391562	0.335498218	0.073228628	4.581517221	4.62E-06	5.62E-05
ITGB1BP1	Expressed in all		336.4808395	-0.241375	0.082586009	-2.922710531	0.003469989	0.016254883
C1orf198	Expressed in all		317.8296116	-1.756098167	0.161239086	-10.89126845	1.27E-27	9.57E-25
TRIM67	Tissue enriched	cerebral cortex: 10.3	4.336787914	-1.977920902	0.386484854	-5.117719058	3.09E-07	5.19E-06
HEATR1	Expressed in all		259.7215652	-0.411766345	0.151765205	-2.713180174	0.006664086	0.027824404
PTBP3	Expressed in all		1047.158077	-0.46634035	0.110290748	-4.228281682	2.35E-05	0.000230782
TRIM32	Mixed		89.01645589	-0.541366397	0.105414814	-5.135581789	2.81E-07	4.76E-06
BSPRY	Tissue enriched	parathyroid gland: 254.8	20.97787132	-1.299586317	0.202421132	-6.420210712	1.36E-10	4.89E-09
HDHD3	Expressed in all		1090.351102	0.671238628	0.143619057	4.67374345	2.96E-06	3.84E-05
HSDL2	Expressed in all		3556.947764	0.399146986	0.118465133	3.369320383	0.000753538	0.0045265
NR4A3	Tissue enhanced	adrenal gland: 88.9	119.8974859	-3.665213409	0.604336929	-6.064850968	1.32E-09	3.90E-08
GALNT12	Tissue enhanced	epididymis: 92.1	14.32641849	-1.286912008	0.336105854	-3.828889002	0.000128723	0.001009865
KDSR	Expressed in all		1966.52664	0.273225259	0.071897125	3.800225126	0.000144565	0.001114478
YLPM1	Expressed in all		436.6540105	-0.213677053	0.077929977	-2.741910913	0.006108291	0.02593445
FCF1	Expressed in all		478.7669579	0.152030552	0.055661485	2.731342	0.006307698	0.026626726
IFI27L2	Expressed in all		30.01330937	-0.890730211	0.172371491	-5.167503089	2.37E-07	4.09E-06
IFT43	Expressed in all		187.650817	-0.389252217	0.097339494	-3.998913503	6.36E-05	0.000551738
DNAL1	Expressed in all		36.08152441	-0.550666888	0.188329101	-2.92396069	0.003456084	0.016208044
LTBP2	Mixed		244.4807197	-3.058969375	0.246748718	-12.3971034	2.71E-35	8.43E-32
MLH3	Expressed in all		194.4422122	-0.360844966	0.126073952	-2.862169075	0.004207524	0.019104121
DLST	Expressed in all		1184.649341	-0.393744988	0.07174173	-5.488367591	4.06E-08	8.44E-07
PPP4R4	Tissue enhanced	cerebral cortex: 14.0;testis: 11.1	156.54202	0.677525864	0.162399503	4.171970056	3.02E-05	0.000286476
TGFB3	Mixed		104.2370464	-1.505467348	0.16452996	-9.150110713	5.69E-20	1.11E-17
ALDH6A1	Expressed in all		13275.37867	0.431535964	0.133137922	3.241270082	0.001189984	0.006609163
ZNF410	Expressed in all		231.5210439	-0.298200999	0.108296132	-2.753570175	0.005894913	0.025196097
RHOQ	Expressed in all		528.2864805	-0.419521005	0.119904245	-3.498800272	0.000467357	0.002999976
KLHL29	Mixed		74.52974795	-1.700039124	0.2417193	-7.033112903	2.02E-12	1.05E-10
DNMT3A	Expressed in all		131.3968472	-0.468305742	0.094431096	-4.959232311	7.08E-07	1.07E-05
FKBP1B	Tissue enhanced	cerebral cortex: 24.4	43.69163048	-1.414280232	0.277308735	-5.100020494	3.40E-07	5.61E-06
YIPF4	Expressed in all		1726.429607	0.328961175	0.085568386	3.844424199	0.000120836	0.000959785
CNRIP1	Tissue enhanced	cerebral cortex: 53.8	77.41630569	-0.684763964	0.154872422	-4.421471256	9.80E-06	0.000108361
BCL11A	Tissue enhanced	skin: 41.0	23.47272258	-1.300670886	0.243039192	-5.351691941	8.71E-08	1.66E-06
EPCAM	Tissue enhanced	rectum: 680.5;small intestine: 714.7	185.6776914	-2.686196203	0.302951909	-8.866741312	7.53E-19	1.21E-16
OGFRL1	Expressed in all		82.04512109	-0.585348792	0.156136123	-3.748964566	0.000177566	0.001321817
TECTB	Not detected		6.84068075	1.181977171	0.410759028	2.87754399	0.00400784	0.018329445
GPAM	Expressed in all		5032.824285	1.36784172	0.15914673	8.594846544	8.34E-18	1.09E-15
CUTC	Expressed in all		230.1636373	0.355495426	0.08031773	4.426113945	9.59E-06	0.000106387
PPP1R3C	Tissue enhanced	skeletal muscle: 322.7	1919.850993	1.300271888	0.231640178	5.613326229	1.98E-08	4.43E-07
MXI1	Expressed in all		1105.536786	0.203758177	0.075938716	2.683192285	0.007292305	0.029930313
HELLS	Tissue enhanced	testis: 23.9	43.19119607	-0.769332202	0.222631669	-3.455627882	0.000549013	0.003445065
WDR11	Mixed		717.0130013	-0.229998393	0.083581645	-2.751781125	0.005927212	0.025321107
GOT1	Expressed in all		2869.254647	-0.755429843	0.112906774	-6.690739752	2.22E-11	9.34E-10
SFRP5	Tissue enhanced	duodenum: 30.9;pancreas: 31.2;small intestine: 29.4	296.3789177	-1.943478653	0.301666509	-6.442474031	1.18E-10	4.29E-09
GNA13	Expressed in all		885.7451138	-0.500101806	0.149810811	-3.338222404	0.000843162	0.004964248
HOXB3	Tissue enhanced	epididymis: 79.4	83.78151123	-0.96691109	0.164599505	-5.874325624	4.25E-09	1.12E-07
PANK3	Expressed in all		3236.474201	0.517414555	0.133709517	3.869691293	0.000108973	0.000878965
MSX2	Tissue enhanced	placenta: 47.8	1.48912543	-2.966305485	0.591809811	-5.012261418	5.38E-07	8.41E-06
RCL1	Expressed in all		905.3231608	0.439299305	0.124635496	3.524672485	0.000424007	0.00276376
CAAP1	Expressed in all		518.87346	0.302765052	0.110293798	2.745077757	0.006049656	0.02574258
MOB3B	Mixed		92.49500816	-1.156970551	0.20764752	-5.571800468	2.52E-08	5.50E-07
MTHFD1L	Mixed		57.75776823	-0.839522471	0.257986622	-3.254131808	0.001137395	0.006376841
PCMT1	Expressed in all		870.4709872	0.405253438	0.080101548	5.059246015	4.21E-07	6.79E-06
MYCT1	Tissue enhanced	spleen: 69.0	282.0522079	0.591688965	0.156790161	3.773763371	0.000160803	0.001219722
CYSTM1	Expressed in all		542.918699	-0.439360129	0.102418948	-4.289832474	1.79E-05	0.00018257
ARAP3	Mixed		109.6308615	-0.435718879	0.137991987	-3.15756653	0.001590919	0.008456706
PCDHB8	Mixed		3.194400699	-1.239348453	0.444275097	-2.789596945	0.005277369	0.023014989
PCDHB10	Tissue enhanced	cerebral cortex: 8.3	10.69316537	-1.412136558	0.261954228	-5.390775982	7.02E-08	1.36E-06
PCDHB12	Mixed		9.813998505	-1.306075351	0.310057028	-4.21237138	2.53E-05	0.000244864
GORAB	Mixed		110.9263146	-0.515590466	0.15842827	-3.254409486	0.001136284	0.006373481
ACAT2	Mixed		160.0426821	0.972978421	0.224811474	4.327974929	1.50E-05	0.000157559
KCNJ5	Tissue enhanced	adrenal gland: 84.8	31.79342105	-1.512859195	0.280141452	-5.400340382	6.65E-08	1.30E-06
TEX11	Group enriched	pancreas: 12.3;testis: 21.1	1.312831045	-1.472008948	0.539661114	-2.727654281	0.006378642	0.026857838
ENY2	Expressed in all		826.2600639	0.27621987	0.082207854	3.360018013	0.000779374	0.004653623
LYZL1	Tissue enriched	testis: 53.4	1.203549508	1.802599347	0.710063793	2.538644224	0.011128292	0.042241016
PLXDC2	Mixed		97.44381869	-1.225009268	0.167847676	-7.298339157	2.91E-13	1.81E-11
TNFSF11	Tissue enhanced	lymph node: 17.3	24.71818363	-1.145935297	0.281138102	-4.076058316	4.58E-05	0.00041298
SMAD9	Tissue enhanced	thyroid gland: 62.8	99.37551809	-0.873371833	0.160889159	-5.428406977	5.69E-08	1.13E-06
KBTBD7	Mixed		431.9213429	0.491230498	0.087371475	5.622321218	1.88E-08	4.24E-07
ETF1	Expressed in all		1068.569374	-0.357082541	0.104212366	-3.426489162	0.000611438	0.003782438
TGFBI	Expressed in all		1357.288211	-0.989869949	0.173110552	-5.718137569	1.08E-08	2.57E-07
MYOT	Tissue enriched	skeletal muscle: 766.9	6.462678607	1.268176794	0.376252246	3.370549434	0.000750184	0.004510711
EGR1	Expressed in all		3895.811488	-0.876792636	0.348742481	-2.514154952	0.0119318	0.044664404
SERP1	Expressed in all		4340.008355	0.371103749	0.108091917	3.433223861	0.000596449	0.003700752
PLS1	Tissue enhanced	duodenum: 192.4;small intestine: 348.5	646.9323296	-0.305193081	0.122066214	-2.500225658	0.012411422	0.046089824
GLT8D2	Mixed		46.2379574	-1.214519628	0.176440779	-6.883440624	5.84E-12	2.87E-10
NFYB	Expressed in all		539.1470146	-0.231704171	0.089745001	-2.581805869	0.009828485	0.038168563
DUSP4	Tissue enhanced	breast: 29.6	63.84819331	-1.875114319	0.237356585	-7.899988602	2.79E-15	2.49E-13
TNFRSF10B	Expressed in all		725.7110151	-0.422559905	0.078034614	-5.415031635	6.13E-08	1.21E-06
PTK2B	Expressed in all		308.191321	0.409571594	0.151348933	2.706141273	0.006807008	0.028335594
ADRA1A	Tissue enhanced	adipose tissue: 22.6;liver: 31.6;prostate: 20.8	690.8547812	0.718559962	0.179782788	3.996822875	6.42E-05	0.000555857
PPP3CC	Expressed in all		134.4024125	-0.24525303	0.085945247	-2.853596191	0.004322744	0.019543419
