Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P value adjusted
ARMCX5	Expressed in all		28.86384329	0.171373283	0.52900781	0.323952274	0.745974167	0.858340856
GDF5	Tissue enhanced	salivary gland: 4.1	0.233331589	-0.705484791	1.450403383	-0.48640592	0.626679394	NA
MMP24	Tissue enhanced	cerebral cortex: 10.6	0.141167028	0.315233474	3.92884572	0.080235646	0.93604984	NA
NECAB3	Mixed		141.3416549	0.055641669	0.132508193	0.419911155	0.674550358	0.812036844
ID1	Expressed in all		892.5606111	-0.150424944	0.230126943	-0.653660723	0.513330414	0.693373529
RALY	Expressed in all		533.9015071	-0.013218984	0.127507299	-0.103672368	0.917429356	0.96048184
DYNLRB1	Expressed in all		481.393413	-0.080062246	0.094706587	-0.845371468	0.39790347	0.591980102
C20orf173	Tissue enriched	testis: 34.3	0.046682971	0.11037844	3.928629876	0.028095912	0.977585654	NA
EIF2S2	Expressed in all		1368.782562	-0.037561257	0.090436036	-0.415335069	0.677896633	0.814503373
ERGIC3	Expressed in all		1351.07602	0.011733018	0.074322983	0.157865278	0.874562959	0.935721471
ROMO1	Expressed in all		534.5940989	0.150888861	0.141537039	1.066073323	0.286390498	0.47857129
FAM83C	Group enriched	esophagus: 19.8;skin: 43.0	0.528194519	1.37050717	0.880583798	1.55636201	0.119622033	0.262449434
BPIFB1	Tissue enhanced	"cervix, uterine: 839.4;stomach: 443.3"	0.740633509	-0.892252632	0.733583343	-1.216293474	0.223873147	0.406097372
CEP250	Expressed in all		77.42614964	0.101461112	0.297423393	0.341133597	0.73300301	0.849866973
PLAGL2	Expressed in all		134.7914664	0.096766638	0.09450801	1.023898798	0.305883078	0.499216633
MMP24-AS1	Expressed in all		466.1772566	-0.021019285	0.154305614	-0.136218537	0.891648521	0.946179253
GRPR	Tissue enhanced	pancreas: 4.2	0.251283002	0.326959681	1.910748247	0.171116044	0.864132521	NA
KDM5C	Expressed in all		713.869708	0.393698254	0.125359261	3.140559788	0.001686253	0.008887244
AMOT	Tissue enhanced	epididymis: 177.9	142.5272534	-0.131772089	0.125865502	-1.046927769	0.295132893	0.487604906
TMEM115	Expressed in all		347.538282	0.02189209	0.110968475	0.197282068	0.843606811	0.917667556
PSMB2	Expressed in all		1447.445627	0.049592023	0.06645137	0.746290449	0.45549198	0.64461651
AGO3	Mixed		113.9188057	0.146558614	0.123989979	1.182019838	0.237197829	0.422605891
UROD	Expressed in all		518.3375615	0.289256021	0.156052421	1.853582398	0.063798928	0.166298085
ST3GAL3	Expressed in all		137.2548686	0.130710603	0.103301407	1.265332261	0.205752246	0.383740966
TMEM53	Mixed		432.6959966	0.144604371	0.106708918	1.355129202	0.175376396	0.343373025
HECTD3	Expressed in all		504.3748522	0.155463346	0.092488058	1.680901832	0.092781984	0.218548631
KLC1	Expressed in all		348.6242415	-0.135396693	0.11990035	-1.129243518	0.25879512	0.447405162
XRCC3	Expressed in all		56.97050218	0.363309752	0.179229938	2.027059517	0.042656326	0.122374545
TUBGCP3	Expressed in all		336.27783	0.062598504	0.064968904	0.963514862	0.335289209	0.530668508
MCF2L	Mixed		126.3416879	-0.131945326	0.164644262	-0.80139644	0.422902175	0.614922444
F10	Tissue enhanced	liver: 67.5	1890.021242	0.027219371	0.143121914	0.190183112	0.849165644	0.921195566
PCID2	Expressed in all		199.4918137	-0.118520044	0.129569247	-0.914723572	0.360336767	0.555203214
PROZ	Group enriched	kidney: 14.5;liver: 27.4	662.8778175	0.738947691	0.219937523	3.359807285	0.000779969	0.004654941
SLURP1	Group enriched	esophagus: 740.6;skin: 297.1	0.04007113	0.206556578	3.928629875	0.052577256	0.958068739	NA
LRFN3	Mixed		139.0257457	0.141180976	0.177536739	0.795221187	0.426484849	0.618100102
IGFLR1	Mixed		140.4276144	0.508478362	0.218243257	2.329869742	0.019813037	0.067203423
CAPNS1	Expressed in all		1466.056043	-0.351719333	0.086238466	-4.07845072	4.53E-05	0.000409644
PDCD2L	Mixed		41.37822429	0.054761111	0.123379577	0.443842593	0.657156391	0.8011718
GPR42	Not detected		0.111026411	0.194218504	3.92783034	0.049446765	0.960563261	NA
RBM42	Expressed in all		243.1770925	0.124796541	0.283191321	0.440679259	0.659445214	0.802325011
KIRREL2	Tissue enriched	pancreas: 11.6	0.050271366	-0.300749806	3.928219482	-0.076561355	0.938972503	NA
UBA2	Expressed in all		705.5860501	-0.157398346	0.090259313	-1.743846035	0.081185941	0.198464266
FFAR2	Tissue enhanced	appendix: 25.5;bone marrow: 13.3	17.15136055	0.850252882	0.307853652	2.761873628	0.005747072	0.024665838
HCST	Expressed in all		73.24341625	-0.161454743	0.220372459	-0.732644833	0.463775079	0.652921012
FFAR1	Tissue enhanced	bone marrow: 1.9	0	NA	NA	NA	NA	NA
COX6B1	Expressed in all		1560.299184	0.077286478	0.131713699	0.586776308	0.55735395	0.728496292
KRT36	Tissue enhanced	skin: 2.1;tonsil: 1.5	0.576707869	0.236947187	0.745181427	0.317972481	0.750505812	0.861334309
THRA	Expressed in all		293.2754829	-0.048608915	0.131938916	-0.368419846	0.712560202	0.836466221
CCR7	Group enriched	appendix: 88.8;lymph node: 97.1;spleen: 39.3;tonsil: 77.2	21.20274486	-0.979459318	0.261523356	-3.745207815	0.000180245	0.001338801
NR1D1	Mixed		283.342585	-0.643210611	0.283319921	-2.270262571	0.023191657	0.075881954
FRMD8	Expressed in all		195.0841788	-0.10296885	0.104328486	-0.986967739	0.323658454	0.518325667
PRDX5	Expressed in all		1439.605519	0.426095997	0.139970819	3.044177352	0.002333176	0.01166494
BCL2L12	Expressed in all		103.3466171	0.257509625	0.147330161	1.747840515	0.080491648	0.197212459
IRF3	Expressed in all		259.9037245	0.16506252	0.1331331	1.239830817	0.215037977	0.39527893
PRMT1	Expressed in all		446.4139991	-0.156060984	0.097398234	-1.602297891	0.109089752	0.245242589
RRAS	Expressed in all		182.4080803	-0.56691117	0.148647379	-3.813798622	0.000136847	0.001063212
PRRG2	Mixed		56.15687626	0.009018149	0.164654591	0.054770102	0.95632162	0.978921899
SCAF1	Expressed in all		528.5653835	0.165247556	0.205188873	0.805343652	0.420621399	0.612920943
PRR12	Mixed		149.1268873	-0.192046595	0.227138715	-0.845503572	0.397829739	0.591942486
TSKS	Tissue enriched	testis: 72.4	1.679719074	-0.274103236	0.476194316	-0.575612153	0.564877365	0.733948035
FLRT1	Tissue enhanced	adrenal gland: 5.9;cerebral cortex: 12.5	6.976100468	0.517361187	0.390423432	1.325128423	0.18512856	0.357240717
ASL	Expressed in all		2345.06436	-0.242155816	0.131185163	-1.845908568	0.064905482	0.168288698
SBDS	Expressed in all		1158.613422	-0.116776424	0.091726969	-1.273087125	0.202987127	0.380612958
CSN1S1	Tissue enriched	breast: 1600.9	0.132892826	-0.36413829	3.34880882	-0.108736661	0.913411363	NA
STATH	Tissue enriched	salivary gland: 44726.6	0.153021031	1.5130445	2.364146217	0.63999616	0.522175096	NA
HTN1	Tissue enriched	salivary gland: 24297.5	1.680365332	0.221094638	0.696757488	0.317319357	0.751001291	0.861624885
STAT5A	Expressed in all		8.10017455	0.063395714	0.796662113	0.079576664	0.936573955	0.968696663
WNK4	Tissue enhanced	kidney: 19.0;prostate: 15.4;rectum: 12.0	14.87760713	-4.224053465	0.389680168	-10.83979583	2.23E-27	1.59E-24
BECN1	Expressed in all		626.2856917	-0.18310314	0.078941699	-2.319473	0.020369403	0.068650902
PRKCG	Tissue enriched	cerebral cortex: 40.9	0.0388759	-0.140783781	3.928458762	-0.035836899	0.971412411	NA
TRAP1	Expressed in all		1355.463548	0.381363717	0.116274192	3.279865537	0.001038566	0.005928231
GLIS2	Mixed		91.15378203	-1.141024389	0.239410083	-4.765983006	1.88E-06	2.56E-05
NSRP1	Expressed in all		333.061211	0.038648013	0.121063149	0.319238461	0.749545694	0.860708596
DNAJC8	Expressed in all		775.3236403	0.160792333	0.049501841	3.24820913	0.001161339	0.00647898
AHDC1	Mixed		257.2875451	0.001225537	0.148104154	0.008274834	0.993397713	0.996680878
IFI6	Expressed in all		1363.330906	1.099235035	0.360980362	3.045138048	0.002325735	0.011632415
DACH2	Group enriched	cerebral cortex: 11.9;epididymis: 4.4;fallopian tube: 5.0	0.034730957	0.247676445	3.92866215	0.063043457	0.949731899	NA
ZNF384	Expressed in all		190.1772952	0.250504143	0.121241214	2.066163265	0.038813066	0.113614024
EMG1	Expressed in all		23.6795275	-0.502504822	0.641210289	-0.783681782	0.433226855	0.624417584
SSX1	Tissue enriched	testis: 12.7	0	NA	NA	NA	NA	NA
UXT	Expressed in all		445.2435418	0.113460631	0.093328872	1.215707735	0.224096277	0.406324467
CFP	Tissue enhanced	bone marrow: 58.1;spleen: 76.6	481.2842686	1.398491017	0.258636444	5.407169221	6.40E-08	1.26E-06
ELK1	Expressed in all		277.8134294	0.162706163	0.1813456	0.897215941	0.369603701	0.564415982
TIMM17B	Expressed in all		215.4985924	0.472756013	0.109701046	4.309494115	1.64E-05	0.000169223
PCNX4	Expressed in all		236.1053265	-0.056622784	0.109811444	-0.515636461	0.60610834	0.765036639
ATG14	Expressed in all		232.7677497	0.081492924	0.091793444	0.887785881	0.374655939	0.569269149
KTN1	Expressed in all		3934.042601	0.223819959	0.081755242	2.737683294	0.006187363	0.026212054
SIX1	Group enriched	"cervix, uterine: 21.9;parathyroid gland: 53.5;prostate: 21.2;salivary gland: 21.6;skeletal muscle: 41.5"	2.045888013	2.124055214	0.603377939	3.520273244	0.000431102	0.00280487
RHOJ	Mixed		81.57465416	-0.456761785	0.142450976	-3.206448958	0.001343841	0.007327057
DLGAP5	Tissue enhanced	testis: 29.8	8.263136019	-1.208885229	0.425633255	-2.840203898	0.004508471	0.020250696
L3HYPDH	Expressed in all		160.8132109	0.171333293	0.117768608	1.454829917	0.145716354	0.301222155
HSPA2	Tissue enhanced	testis: 188.6	44.06080102	-2.671651688	0.318266438	-8.394387118	4.68E-17	5.60E-15
ZBTB1	Expressed in all		82.25021132	-0.699373818	0.163289958	-4.283017946	1.84E-05	0.000187256
TRMT5	Expressed in all		197.651484	-0.096442123	0.083029942	-1.161534263	0.245424698	0.431756679
SGPP1	Expressed in all		850.7510551	0.027240684	0.132681458	0.205308902	0.837330789	0.913555195
PLEKHG3	Expressed in all		415.5636681	0.124596015	0.114410159	1.089029295	0.276140967	0.467013867
PZP	Tissue enriched	liver: 45.9	1745.980098	1.279959439	0.391707403	3.267641684	0.001084476	0.006146597
PRDM7	Tissue enriched	testis: 1.1	2.878583922	-0.798025972	0.614684825	-1.298268543	0.194195072	0.369270688
RHOT1	Expressed in all		377.4252321	0.157463798	0.098958224	1.591214865	0.111561229	0.249402215
EVI2A	Mixed		109.8530581	-1.10550833	0.19574198	-5.647783524	1.63E-08	3.71E-07
OMG	Tissue enriched	cerebral cortex: 137.4	2.297146215	0.23455734	0.506205754	0.463363638	0.643103738	0.790713294
WDR60	Expressed in all		127.3880664	-0.081631441	0.178517112	-0.457275159	0.647473282	0.794177479
AIF1L	Tissue enhanced	kidney: 287.5;spleen: 288.1	78.64749974	-0.760871039	0.250203414	-3.041009816	0.002357861	0.011757661
FAM78A	Mixed		96.86021453	-0.321120402	0.169630884	-1.893053874	0.058350705	0.155583131
NUP214	Expressed in all		306.519484	-0.090464419	0.092152261	-0.981684203	0.32625545	0.520858123
CTAG2	Group enriched	fallopian tube: 2.6;heart muscle: 3.2;placenta: 3.6;skeletal muscle: 1.2;testis: 6.0	0.25653372	-0.767425667	3.121658734	-0.245839066	0.805806815	NA
AVPR2	Tissue enhanced	adipose tissue: 5.8	2.050551239	-1.820565204	0.66292465	-2.746262648	0.006027849	0.025684952
SLC10A3	Expressed in all		77.08791024	-0.687487731	0.153686806	-4.473303522	7.70E-06	8.76E-05
MAP2K2	Expressed in all		739.5231663	0.214180132	0.137634704	1.556149181	0.119672623	0.262491021
HNRNPH2	Expressed in all		1066.730823	-0.136146024	0.062050106	-2.194130401	0.028226036	0.088648842
ARMCX1	Expressed in all		37.28647481	-0.933417882	0.351398287	-2.656296053	0.007900422	0.031889932
TMEM35A	Tissue enhanced	cerebral cortex: 42.4;seminal vesicle: 65.5	1.102456752	-0.838222051	0.734133309	-1.141784523	0.253543597	0.441603841
NXF5	Not detected		0.348794501	0.24976922	1.069172961	0.233609742	0.815287964	NA
TIMM8A	Mixed		189.7023738	0.00587337	0.136554669	0.043011127	0.965692664	0.983638804
ZC4H2	Mixed		77.8386355	-0.234070809	0.115205965	-2.031759463	0.042178013	0.121291403
CANX	Expressed in all		11719.83983	-0.093435242	0.088640488	-1.054092148	0.291840731	0.484429869
INTS11	Expressed in all		511.6667563	0.169896833	0.122987224	1.381418552	0.167150305	0.33178156
RGS13	Group enriched	appendix: 14.3;lymph node: 68.4;tonsil: 36.9	3.961959922	-0.897916159	0.475752921	-1.887358162	0.059112168	0.157192523
IPPK	Mixed		97.1355853	0.088123842	0.115691565	0.761713632	0.446230938	0.636242983
ZNF484	Mixed		42.52861708	-0.342755896	0.165083847	-2.076253384	0.037870522	0.111603044
OMD	Mixed		21.41119013	-1.820032516	0.356944334	-5.098925353	3.42E-07	5.64E-06
FGD3	Tissue enhanced	lymph node: 31.4	73.642912	-0.549869157	0.196705432	-2.79539386	0.005183652	0.022701733
HIVEP3	Mixed		94.65055207	-0.269574316	0.111453661	-2.418712069	0.015575564	0.055254739
PPCS	Expressed in all		807.4066947	0.090203643	0.100014866	0.901902351	0.367108742	0.562186632
EDN2	Tissue enhanced	esophagus: 10.6;small intestine: 18.1	6.30107987	-0.904939826	0.38813302	-2.331519813	0.019725967	0.066962837
BCL11B	Tissue enhanced	lymph node: 12.2;skin: 18.7	63.01139542	-1.18448339	0.240493049	-4.925229212	8.43E-07	1.25E-05
COX7C	Expressed in all		3760.142841	0.040489576	0.138068323	0.293257531	0.769325313	0.873588861
TRAF2	Expressed in all		52.68476234	-0.816571311	0.464426079	-1.758237419	0.078707121	0.193815829
ABHD8	Mixed		256.6659866	0.70341605	0.189232772	3.717199947	0.000201443	0.001467521
MASP1	Tissue enhanced	"cervix, uterine: 135.4"	3013.310568	-0.159434466	0.12414813	-1.284227689	0.1990623	0.375426761
ATP13A4	Tissue enhanced	epididymis: 87.9;parathyroid gland: 131.5;thyroid gland: 68.5	21.07446514	-1.889033962	0.326675167	-5.782606558	7.36E-09	1.82E-07
HRASLS	Group enriched	skeletal muscle: 27.2;testis: 95.8	1.278259636	-0.843297424	0.578218267	-1.458441339	0.144718933	0.300032348
HELB	Mixed		38.28293756	-0.499949542	0.187221896	-2.670358292	0.007577035	0.030834638
RAP1B	Expressed in all		861.8826539	0.036357663	0.117376156	0.309753396	0.756748494	0.865426575
IL22	Not detected		0.070034695	0.315240932	3.92884572	0.080237544	0.93604833	NA
TSPAN8	Tissue enhanced	colon: 910.6;duodenum: 905.9;rectum: 911.5;small intestine: 909.2	339.8357487	-1.98804032	0.297452808	-6.68354868	2.33E-11	9.79E-10
BEST3	Tissue enhanced	cerebral cortex: 16.3;skeletal muscle: 12.2	0.341612881	-2.04272816	0.952799518	-2.143922329	0.032039111	NA
RAB3IP	Tissue enhanced	testis: 134.1	280.6880067	-0.458308976	0.095093143	-4.819579621	1.44E-06	2.02E-05
PTPRB	Mixed		294.7145516	0.471121406	0.271859393	1.732959824	0.08310281	0.201723866
DYRK2	Expressed in all		265.1697453	-0.564996593	0.125980352	-4.484799302	7.30E-06	8.36E-05
YEATS4	Expressed in all		160.3970979	0.103779819	0.115286298	0.900192142	0.368018007	0.562961486
TAS2R3	Not detected		0.494953266	-0.457219753	0.834314744	-0.548018306	0.583679333	0.747749969
TAS2R4	Mixed		1.219227569	-0.183354507	0.674153152	-0.271977527	0.785639299	0.883489297
TAS2R5	Tissue enhanced	skin: 5.0	2.162624811	-0.348527399	0.444217315	-0.784587604	0.4326954	0.62391353
CRYGN	Group enriched	seminal vesicle: 10.2;thyroid gland: 32.3	0.292765286	-0.52316887	1.155556471	-0.452741933	0.650734581	NA
LRRC61	Mixed		184.3842184	-0.027215021	0.203161561	-0.133957532	0.893436156	0.946879523
TRPV5	Not detected		0.153096627	-0.498538726	1.841510179	-0.270722764	0.786604267	NA
IDUA	Expressed in all		104.839247	-0.046937134	0.208764366	-0.224833074	0.822109135	0.904706961
FGFRL1	Expressed in all		916.7756911	0.276336497	0.14232892	1.941534418	0.052193489	0.142618279
TMEM175	Expressed in all		261.5269318	0.206241463	0.128302792	1.607458892	0.10795374	0.243281953
AUNIP	Tissue enriched	testis: 29.0	14.81222968	0.377131252	0.303045647	1.244470117	0.213326591	0.393375462
PIN1	Expressed in all		222.3402049	0.124306645	0.120347569	1.032897014	0.301652096	0.494535408
FBXL12	Expressed in all		136.89906	0.262901212	0.107140955	2.453788203	0.014136021	0.051172161
EMC1	Expressed in all		672.8862702	-0.096998983	0.068449648	-1.417085194	0.156458021	0.316794313
PLA2G5	Tissue enhanced	heart muscle: 48.6	35.46876225	-0.884343153	0.267488333	-3.306099907	0.000946043	0.005476712
UBR4	Expressed in all		906.5460556	0.245988518	0.130579602	1.883820406	0.059589272	0.158173999
HP1BP3	Expressed in all		1372.496326	-0.185923392	0.071015798	-2.618056793	0.008843209	0.035036446
ADGRE2	Tissue enhanced	appendix: 27.0;spleen: 15.4	14.81732182	-0.373673258	0.484050389	-0.771971816	0.440131121	0.630753252
SIN3B	Expressed in all		231.5896087	-0.075554315	0.116267843	-0.649829854	0.515802132	0.695061034
OR7A10	Not detected		0	NA	NA	NA	NA	NA
SLC35E1	Expressed in all		661.4921074	0.062356825	0.052340763	1.19136255	0.233511288	0.418367388
EPS15L1	Expressed in all		119.0281405	-0.245012306	0.090485104	-2.707763987	0.006773817	0.028225751
KLF2	Expressed in all		280.4366067	-1.116599239	0.190728105	-5.854403258	4.79E-09	1.24E-07
OR7C2	Not detected		0	NA	NA	NA	NA	NA
OR7C1	Tissue enhanced	epididymis: 3.5;parathyroid gland: 5.0;testis: 3.9	0.04505921	0.411424547	3.92884572	0.104718937	0.916598835	NA
F2RL3	Mixed		9.547589003	-2.528645549	0.445151033	-5.680421607	1.34E-08	3.12E-07
GFER	Expressed in all		170.8742729	0.20658254	0.173116124	1.193317726	0.232744963	0.417354874
SYNGR3	Tissue enriched	cerebral cortex: 82.6	1.186224715	-0.696295481	0.65890046	-1.056753672	0.290624023	0.483140257
PKMYT1	Tissue enhanced	bone marrow: 17.0;testis: 27.7	4.096651476	-0.706635028	0.614222858	-1.150453811	0.249957008	0.437042902
WFIKKN1	Not detected		10.08860978	1.07237962	0.41211458	2.602139484	0.009264416	0.036409712
WDR24	Expressed in all		203.8839099	0.265413358	0.149922818	1.7703333	0.076671634	0.190268449
FBXL16	Tissue enriched	cerebral cortex: 186.4	9.656480397	-1.702309132	0.31639207	-5.380378635	7.43E-08	1.43E-06
CHTF18	Mixed		41.00216688	0.20842923	0.198753227	1.048683499	0.294323811	0.486904763
GNG13	Tissue enhanced	cerebral cortex: 2.5;duodenum: 1.4;small intestine: 1.4	0.065722048	-0.204573516	3.928219478	-0.052077924	0.958466603	NA
MACF1	Expressed in all		1790.965502	-0.117439642	0.093062378	-1.26194543	0.206968423	0.385460493
SMARCA4	Expressed in all		269.8012833	-0.339968655	0.261402572	-1.30055589	0.193410514	0.368367859
KDM4B	Expressed in all		445.6545255	0.274035627	0.107909199	2.539502011	0.011101041	0.042144
TICAM1	Expressed in all		175.0279669	-0.158610773	0.142368444	-1.114086581	0.265242045	0.454416395
METTL25	Mixed		63.28219679	-0.011558029	0.097298655	-0.118789199	0.905442366	0.954214814
IL17B	Tissue enhanced	breast: 4.0	0.237879062	-0.287094065	1.434573417	-0.200125042	0.841382789	NA
EMC6	Expressed in all		357.6401659	0.291730993	0.159303607	1.831289316	0.067057372	0.172195084
OR1E2	Not detected		0	NA	NA	NA	NA	NA
METTL16	Expressed in all		277.5310815	-0.092265888	0.066534079	-1.386746287	0.165519141	0.329410615
TUBA4A	Expressed in all		286.0391681	-0.20726883	0.169007734	-1.226386656	0.220053205	0.401567659
VIL1	Group enriched	colon: 173.7;duodenum: 398.5;rectum: 199.6;small intestine: 480.0	356.04637	1.268262343	0.212176046	5.977405863	2.27E-09	6.36E-08
AAMP	Expressed in all		917.0641069	0.308996338	0.109409309	2.824223475	0.004739533	0.021094437
PNKD	Expressed in all		1656.159533	0.369190637	0.156122725	2.364746303	0.018042426	0.062361858
TNFRSF19	Tissue enhanced	skin: 128.9	61.86324862	-1.237518498	0.260145483	-4.757024741	1.96E-06	2.66E-05
RNF6	Expressed in all		358.1610012	-0.155333375	0.115850133	-1.340813092	0.179981144	0.349939126
ECHS1	Expressed in all		11965.96593	0.670224357	0.113407647	5.909869183	3.42E-09	9.24E-08
ZNF835	Mixed		1.052139832	-1.800530834	1.384744479	-1.30026215	0.193511136	0.368501493
AKAP9	Expressed in all		2509.277496	0.327318884	0.092523172	3.537696289	0.000403634	0.0026546
GNG11	Expressed in all		461.3896814	-0.00637067	0.143509409	-0.044392003	0.964591936	0.983154693
SEM1	Expressed in all		1095.589013	0.422141335	0.11146338	3.787264801	0.000152315	0.001165947
GNGT1	Tissue enriched	placenta: 3.9	0.265309187	1.387572172	1.356550761	1.022867859	0.306370328	NA
HIP1	Mixed		593.0365559	-0.250711424	0.071096192	-3.526369251	0.000421299	0.002750433
PTPN12	Expressed in all		659.7215132	-0.515091547	0.116938761	-4.404797363	1.06E-05	0.000115857
POR	Expressed in all		4168.519812	-0.55550411	0.178127347	-3.118578473	0.001817257	0.009463805
FGL2	Expressed in all		1351.792901	-0.161825912	0.222751655	-0.726485793	0.467541014	0.656355654
STYXL1	Expressed in all		153.1914654	0.102772362	0.121686129	0.844569251	0.398351383	0.592434041
STEAP4	Expressed in all		921.1110083	-1.048340205	0.206231059	-5.083328415	3.71E-07	6.04E-06
GNAI1	Expressed in all		585.6650136	0.204812729	0.110424345	1.854778756	0.063627827	0.165983053
PEX1	Expressed in all		435.8296938	0.076667131	0.07731862	0.991573974	0.32140539	0.515977324
MTERF1	Expressed in all		154.3392118	0.057690639	0.09955472	0.57948673	0.562260798	0.731872346
SGCE	Mixed		368.1674949	0.565655435	0.187756281	3.012711112	0.002589253	0.012719719
RBM48	Expressed in all		114.0850904	-0.009184984	0.12647569	-0.072622527	0.9421065	0.971614414
CASD1	Expressed in all		340.6061411	-0.288792574	0.119507159	-2.416529503	0.015669256	0.05553172
ZNF780B	Mixed		205.0836359	-0.073895287	0.114168022	-0.647250305	0.517469959	0.696629694
LRFN1	Tissue enhanced	cerebral cortex: 5.5	22.63542999	0.202782891	0.273792451	0.740644567	0.458908978	0.648087081
SRD5A3	Expressed in all		241.7149737	-0.077079387	0.13485741	-0.571562118	0.567618666	0.735655305
SPINK2	Tissue enriched	epididymis: 6416.1	0.554923797	-1.930358153	0.832079815	-2.319919458	0.020345235	0.06858965
RASL11B	Tissue enhanced	ovary: 26.0;parathyroid gland: 30.1	16.63232564	-2.084478429	0.316459038	-6.58688228	4.49E-11	1.78E-09
PAICS	Expressed in all		2013.071932	0.283741859	0.071849694	3.949103252	7.84E-05	0.000660819
KDR	Tissue enhanced	placenta: 119.2	1094.486506	0.647705975	0.164929459	3.927169703	8.60E-05	0.00071726
PPAT	Mixed		185.9047853	0.080278942	0.103874856	0.772842873	0.439615377	0.630195542
TUBGCP6	Expressed in all		345.4273174	0.115524051	0.137261527	0.841634605	0.399992513	0.593775039
ADM2	Tissue enhanced	thyroid gland: 19.2	10.72727769	-0.131343287	0.30611747	-0.429061716	0.667878312	0.807909094
DGCR6L	Expressed in all		659.8266788	0.383103386	0.157162318	2.437628761	0.014783948	0.053089558
DGCR8	Expressed in all		314.1637095	0.246812457	0.128768018	1.916721711	0.055273296	0.14910253
ASPHD2	Tissue enhanced	cerebral cortex: 12.8	11.54860582	-0.376075934	0.247327568	-1.520558087	0.128370771	0.276143589
VPREB3	Tissue enhanced	lymph node: 117.3;tonsil: 95.8	5.439969351	0.557329212	0.32234089	1.729005624	0.083808088	0.203020119
SDF2L1	Expressed in all		425.6101538	0.832731402	0.209158274	3.981345737	6.85E-05	0.000589638
GAL3ST1	Tissue enhanced	cerebral cortex: 18.0;duodenum: 23.2;small intestine: 27.0	39.52456803	-0.553909273	0.293760381	-1.885581953	0.059351311	0.157609579
YWHAH	Tissue enriched	cerebral cortex: 896.7	888.0918756	-0.602259361	0.105111997	-5.729691945	1.01E-08	2.42E-07
RFPL1	Tissue enriched	cerebral cortex: 27.8	21.47785894	1.577002129	0.486537323	3.241276782	0.001189956	0.006609163
RFPL2	Tissue enriched	prostate: 5.8	4.210580841	-0.36354134	0.509870363	-0.713007396	0.475841181	0.662665419
GNAZ	Tissue enhanced	cerebral cortex: 49.7	0.299187278	0.378684656	1.010953225	0.374581777	0.707971528	NA
MGAT3	Tissue enhanced	cerebral cortex: 38.6	11.47326681	-1.311053163	0.352873068	-3.715367599	0.000202908	0.001474745
ADORA2A	Tissue enhanced	bone marrow: 24.6;lymph node: 22.7	37.05596863	0.109449057	0.37261418	0.293732937	0.768961984	0.873295801
ATF4	Expressed in all		2202.146183	0.343206749	0.126486131	2.713394313	0.006659781	0.027811093
A4GALT	Mixed		30.70412564	-0.786437588	0.274976849	-2.86001382	0.004236225	0.01921158
RFPL3	Tissue enriched	testis: 3.6	0	NA	NA	NA	NA	NA
CDC42EP1	Expressed in all		814.8248235	-0.150080622	0.194086724	-0.773265784	0.439365101	0.630018172
APOL3	Mixed		651.2468318	-0.102389391	0.180824535	-0.566236165	0.571233248	0.738302661
MCHR1	Tissue enhanced	cerebral cortex: 8.6	24.69620254	0.308961418	0.212425443	1.454446389	0.145822587	0.301295296
TPST2	Expressed in all		1446.740963	0.463092415	0.103658771	4.467469652	7.92E-06	8.98E-05
BAIAP2L2	Tissue enhanced	duodenum: 107.2;small intestine: 97.5	6.14858392	-2.159562126	0.556993171	-3.87717882	0.000105675	0.000855467
MPST	Mixed		3318.039928	0.433228725	0.164793948	2.628911622	0.008565862	0.034151293
GALR3	Not detected		2.962778406	1.02644868	0.566688972	1.811308728	0.070093075	0.177626685
TST	Expressed in all		5461.980302	0.304959801	0.141947654	2.148396207	0.031682294	0.096983195
APOL5	Not detected		4.619353414	1.541212329	0.611986511	2.518376305	0.011789729	0.044279076
IGLL1	Group enriched	bone marrow: 44.2;testis: 15.8	0.171482122	0.033619599	1.692034325	0.019869337	0.984147606	NA
APOL2	Expressed in all		715.4020586	0.160165425	0.125340126	1.277846372	0.2013036	0.378506724
RAC2	Expressed in all		178.2525936	-0.140944896	0.206237036	-0.683412148	0.494346446	0.677160052
LIF	Tissue enhanced	gallbladder: 75.6	28.07018244	-3.332381395	0.31211586	-10.67674484	1.31E-26	8.14E-24
C22orf23	Tissue enhanced	testis: 145.1	19.49414706	-0.404433525	0.181090949	-2.233317169	0.025528036	0.081812442
APOBEC3A	Tissue enhanced	appendix: 29.8;bone marrow: 59.0	14.81096386	0.446972631	0.353681087	1.263773065	0.206311491	0.384495916
APOBEC3F	Mixed		72.82832968	-0.412370814	0.129809693	-3.176733611	0.001489438	0.007997536
RIBC2	Group enriched	fallopian tube: 15.9;testis: 37.3	0.142300357	-0.783264661	2.001350275	-0.391368104	0.695525166	NA
KRT17	Tissue enhanced	breast: 222.3;seminal vesicle: 226.0;urinary bladder: 322.8	3.427699114	-5.540305763	0.760094158	-7.288972956	3.12E-13	1.92E-11
EMC4	Expressed in all		828.8491996	0.237573688	0.065498118	3.627183409	0.00028653	0.001979624
RNF112	Tissue enhanced	cerebral cortex: 33.0	8.68834762	-1.002243562	0.299607026	-3.345193788	0.000822251	0.004861827
SPECC1	Expressed in all		70.21139362	-1.196709872	0.163331508	-7.326877	2.36E-13	1.51E-11
